start-date,end-date,sport,event,venue,
2019-04-13,2019-04-14,MOTOR CYCLING,World Superbikes,Assen,
2019-04-13,2019-04-14,RUGBY LEAGUE,Challenge Cup fifth round,,
2019-04-14,2019-04-14,CYCLING,Paris-Roubaix,France,
2019-04-14,2019-04-14,FOOTBALL,Women’s FA Cup semi-finals,,
2019-04-14,2019-04-14,MOTOR RACING,Chinese Grand Prix,Shanghai,
2019-04-14,2019-04-14,MOTOR CYCLING,MotoGP,Austin,
2019-04-15,2019-04-21,TENNIS,Rolex Masters,Monte Carlo,
2019-04-16,2019-04-17,FOOTBALL,Champions League quarter-final second legs,,
2019-04-18,2019-04-18,FOOTBALL,Europa League quarter-final second legs,,
2019-04-19,2019-04-21,RUGBY UNION,European Champions Cup and European Challenge Cup semi-finals,,
2019-04-20,2019-04-21,FOOTBALL,Women’s Champions League semi-final first legs,,
2019-04-20,2019-04-21,TENNIS,Fed Cup semi-finals,,
2019-04-20,2019-05-06,SNOOKER,World Championship,Sheffield,
2019-04-25,2019-04-28,MOTOR RACING,Argentinian Rally,,
2019-04-26,2019-04-27,RUGBY UNION,Final round of Pro14 matches,,
2019-04-27,2019-04-28,CYCLING,UCI Mountain Bike World Cup,Maribor,
2019-04-27,2019-04-28,FOOTBALL,Women’s Champions League semi-final second legs,,
2019-04-27,2019-04-28,TRIATHLON,World Series,Bermuda,
2019-04-28,2019-04-28,MOTOR RACING,Azerbaijan Grand Prix,Baku,
2019-04-28,2019-04-28,CYCLING,London Marathon,Liege-Bastogne-Liege in Belgium,
2019-04-30,2019-05-01,FOOTBALL,Champions League semi-final first legs,,
2019-05-02,2019-05-02,FOOTBALL,Europa League semi-final first legs,,
2019-05-02,2019-05-05,CYCLING,Tour de Yorkshire,,
2019-05-02,2019-05-05,GOLF,Volvo China Open,Chengdu,
2019-05-02,2019-05-05,GOLF,Wells Fargo Championship,North Carolina,
2019-05-03,2019-05-03,ATHLETICS,Diamond League,Doha,
2019-05-03,2019-05-03,CRICKET,One-day international: Ireland v England,Malahide,
2019-05-03,2019-05-04,RUGBY UNION,Pro14 quarter-finals,,
2019-05-04,2019-05-04,FOOTBALL,Final weekend of Football League season, Women’s FA Cup final Wembley,
2019-05-04,2019-05-12,TENNIS,Madrid Open,,
2019-05-05,2019-05-05,CRICKET,T20 international: England v Pakistan,The Oval,
2019-05-05,2019-05-05,MOTOR CYCLING,Jerez MotoGP,,
2019-05-07,2019-05-08,FOOTBALL,Champions League semi-final second legs,,
2019-05-08,2019-05-08,CRICKET,First one-day international: England v Pakistan,The Oval,
2019-05-09,2019-05-09,FOOTBALL,Europa League semi-final second legs,,
2019-05-09,2019-05-12,GOLF,British Masters,Southport,
2019-05-09,2019-05-12,MOTOR RACING,Chilean Rally,,
2019-05-10,2019-05-26,ICE HOCKEY,World Championship,Slovakia,
2019-05-10,2019-05-10,RUGBY UNION,European Challenge Cup final,Newcastle,
2019-05-11,2019-05-11,CRICKET,Second one-day international: England v Pakistan,Ageas Bowl,
2019-05-11,2019-05-11,RUGBY UNION,European Champions Cup final,Newcastle,
2019-05-11,2019-05-12,CRICKET,Royal London One-Day Cup semi-finals,,
2019-05-11,2019-05-12,RUGBY LEAGUE,Challenge Cup sixth round,,
2019-05-11,2019-06-02,CYCLING,Giro d’Italia,,
2019-05-11,2019-05-12,MOTOR CYCLING,World Superbikes,Imola,
2019-05-12,2019-05-12,FOOTBALL,Premier League season finishes,,
